,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
0,Arts,Bangarra's World,Bangarra's World,Return to Country (Yirrkala),Join the dancers and creatives during Bangarra Dance Theatre's 30th anniversary as they travel Australia; stage major dance works and show us what it's like to inhibit some of the most iconic roles in Australian dance.,"In Yirrkala, Northeast Arnhem Land, Bangarra stages Nyapanyapa, a work based on the story of local Wynne Prize winning artist Nyapanyapa Yunupingu who was attacked by a buffalo and miraculously lived to tell the tale.","['ABC TV', 'ABC TV Plus', 'INDIGENOUS', 'ARTS & CULTURE', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/ar/AR1942H001S00_60e25df03e990_1280.jpg,"Director Nel Minchin, Wayne Blair","['abc1', 'abc2', 'indigenous', 'abcarts', 'arts', 'docs', 'factual', 'first-nations', 'diversity', 'bangarra', 'dance', 'performance', 'biography', 'inspirational', 'revealing', 'behind-the-scenes', 'ns:be-inspired', 'ns:be-uplifted', 'a:older-sink-dink', 'a:established-parents', 'australia']",2021-07-07 22:00:00,G,626
1,Arts,Going Country,Going Country,Series 1 Episode 1,"Justine Clarke takes a road trip into the heart of Australian country music, discovering how these musicians capture who we are as a people and a nation.","Justine Clarke connects with some of Australia's greatest musicians, discovering the origins of our country music tradition. Featuring performances by Paul Kelly and Kasey Chambers.","['ABC TV', 'DOCUMENTARY', 'ARTS & CULTURE', 'LIFESTYLE', 'REGIONAL AUSTRALIA']",https://cdn.iview.abc.net.au/thumbs/i/ac/AC2011H001S00_616e4cd71a011.jpg,Host Justine Clarke,"['abc1', 'docs', 'arts', 'factual', 'lifestyle', 'country-music', 'music', 'outback', 'docuseries', 'feel-good', 'explore', 'travel', 'inspirational', 'uplifting', 'revealing', 'gender', 'diversity', 'performance', 'indigenous-history', 'australia', 'regional', 'abc90', 'abc', '90']",2021-11-02 20:30:14,PG,3244
2,Arts,Mission Songs Project,Mission Songs Project,Surrare,"Jessie Lloyd's Mission Songs Project revives songs from Australian Aboriginal missions. The songs, blending Western and Aboriginal song traditions are a reminder Indigenous culture is continually adapting and breathing.","A song from the Torres Strait Islands, 'Surrare' is about hunting a seabird, and is sung in Ailan Kriol language or Yumplatok. The song was made popular by Joe Geia on his first solo album titled Yil Lull.","['ABC TV', 'DOCUMENTARY', 'ARTS & CULTURE', 'INDIGENOUS']",https://cdn.iview.abc.net.au/thumbs/i/ip/IP2060V009S00_5fa37ee7b9410_1280.jpg,No more information found,"['abc1', 'docs', 'factual', 'arts', 'indigenous', 'music', 'culture', 'profiles', 'short', 'history', 'indigenous-history', 'compelling', 'inspirational', 'a:older-sink-dink', 'ns:be-inspired', 'ns:understand', 'australia']",2020-11-07 07:00:00,G,313
3,Arts,The Story of Film: An Odyssey,The Story of Film: An Odyssey,Episode 5 Post-War Cinema,A worldwide guided tour of the greatest movies ever made; an epic tale that starts in nickelodeons and ends as a multi-billion-dollar globalised digital industry.,"1939-1952 The trauma of war led to more daring creations for cinema, including the darkening of American film and the drama of the McCarthy years. Screenwriters Paul Schrader and Robert Towne discuss the era.","['ABC TV', 'ABC TV Plus', 'ARTS & CULTURE', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2869A005S00_60b83e9213788_1920.jpg,Host Mark Cousins,"['abc1', 'abc2', 'arts', 'abcarts', 'docs', 'movies', 'retro', 'docuseries', 'pop-culture', 'history', 'historical-events', 'ns:be-entertained', 'ns:be-informed', 'ns:understand', 'a:young-adults', 'a:young-sink-dink', 'a:older-sink-dink', 'a:establish']",2021-06-11 07:00:00,M,3728
4,Arts,Ballet Now,No data found,Ballet Now,"This film captures the creative process behind the scenes at the famed Dorothy Chandler Pavilion - bringing dancers, choreographers and styles from all over the world together for three magical nights of performances.","This film captures the creative process behind the scenes at the famed Dorothy Chandler Pavilion - bringing dancers, choreographers and styles from all over the world together for three magical nights of performances.","['ABC TV Plus', 'DOCUMENTARY', 'ARTS & CULTURE', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2691A001S00_60caa8b2cbb79_1920.jpg,No more information found,"['abc2', 'docs', 'factual', 'arts', 'ballet', 'dance', 'culture', 'performance', 'inspirational', 'revealing', 'heartfelt', 'a:older-sink-dink', 'a:young-sink-dink', 'a:established-parents', 'ns:be-entertained', 'ns:be-inspired', 'behind-the-scenes', 'family-viewing']",2021-06-30 21:59:27,M,3555
5,Arts,The Story of Film: An Odyssey,The Story of Film: An Odyssey,Episode 15 Cinema Today and the Future,A worldwide guided tour of the greatest movies ever made; an epic tale that starts in nickelodeons and ends as a multi-billion-dollar globalised digital industry.,"The 2000s Cinema got more serious after 9/11, and Romanian movies came to the fore. David Lynch's Mulholland Drive became one of the most complex dream films ever made, and Inception turned film into a game. (Final)","['ABC TV', 'ABC TV Plus', 'ARTS & CULTURE', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2869A015S00_60b859c68f4a1_1280.jpg,Host Mark Cousins,"['abc1', 'abc2', 'arts', 'abcarts', 'docs', 'movies', 'retro', 'docuseries', 'pop-culture', 'history', 'historical-events', 'ns:be-entertained', 'ns:be-informed', 'ns:understand', 'a:young-adults', 'a:young-sink-dink', 'a:older-sink-dink', 'a:establish']",2021-06-11 07:00:00,MA,3754
6,Arts,Julia Zemiro's Home Delivery,Julia Zemiro's Home Delivery,Series 7 Costa Georgiadis,"Julia Zemiro invites notable personalities to join her on a nostalgia filled trip to discover the people, places, and stories that have made them who they are today.",Julia Zemiro travels with Gardening Australia host Costa Georgiadis back to his childhood home town.,"['ABC TV', 'ABC TV Plus', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1861H001S00_5d82d7b34d81b_1280.jpg,Host Julia Zemiro,"['abc1', 'abc2', 'docs', 'people', 'entertainment', 'interview', 'emotional', 'feel-good', 'heartwarming', 'inspirational', 'gender', 'diversity', 'revealing', 'a:older-sink-dink', 'a:established-parents', 'a:retirees', 'ns:be-inspired', 'ns:be-entertained', 'ns:understand', 'australia', 'aussie', 'garden']",2019-10-09 20:31:55,PG,1677
7,Arts,Classic Countdown,Classic Countdown,1986,"Classic Countdown will celebrate one of the most loved programs ever produced and broadcast by the ABC, spanning 13 years from 1974-1987, providing the soundtrack to an entire generation of Australians.","Countdown provided the soundtrack to an entire generation of Australians. Deb Conway narrates a trip back to 1986 with performances by Mental as Anything, The Damned, GANGgajang and John Farnham. #ClassicCountdown","['ABC TV', 'ABC ARTS', 'ARTS & CULTURE']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1601V012S00_5a1cf3ad0769e.jpg,No more information found,"['abc1', 'aussie', 'countdown', 'arts', 'abcarts', 'music']",2018-01-09 19:00:00,PG,3408
8,Arts,Julia Zemiro's Home Delivery,Julia Zemiro's Home Delivery,Series 3 Waleed Aly,"Julia Zemiro invites notable personalities to join her on a nostalgia filled trip to discover the people, places, and stories that have made them who they are today.","Waleed Aly is a lawyer, writer, columnist and lecturer, and is considered one of the country's foremost thinkers. He is an influential voice on matters as varied as sport, politics, theology, science and religion.","['ABC TV', 'ABC TV Plus', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1461H007S00559f50f1d0fd55.85108542_1280.jpg,Host Julia Zemiro,"['abc1', 'abc2', 'docs', 'people', 'entertainment', 'interview', 'emotional', 'feel-good', 'heartwarming', 'inspirational', 'gender', 'diversity', 'revealing', 'a:older-sink-dink', 'a:established-parents', 'a:retirees', 'ns:be-inspired', 'ns:be-entertained', 'ns:understand', 'australia', 'aussie', 'cald', 'diversity']",2021-06-04 07:00:00,G,1619
9,Arts,Julia Zemiro's Home Delivery,Julia Zemiro's Home Delivery,Series 6 Raelene Boyle,"Julia Zemiro invites notable personalities to join her on a nostalgia filled trip to discover the people, places, and stories that have made them who they are today.","Former track and field star Raelene Boyle takes Julia to her childhood home and to her primary school in Coburg Victoria, where they chat about her early family life and the beginnings of her sporting career.","['ABC TV', 'ABC TV Plus', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1761H006S00_5b160b77ccf94.jpg,Host Julia Zemiro,"['abc1', 'abc2', 'docs', 'people', 'entertainment', 'interview', 'emotional', 'feel-good', 'heartwarming', 'inspirational', 'gender', 'diversity', 'revealing', 'a:older-sink-dink', 'a:established-parents', 'a:retirees', 'ns:be-inspired', 'ns:be-entertained', 'ns:understand', 'australia', 'aussie', 'sport']",2021-06-04 07:00:00,PG,1655
